Id,Name,LastGenerated
3D,Tri Delta Transit,11/12/2025 10:23:48 AM
AC,AC TRANSIT,8/10/2025 12:28:22 AM
AF,Angel Island Tiburon Ferry,10/11/2025 11:00:04 AM
AM,Capitol Corridor Joint Powers Authority,10/5/2025 11:23:58 PM
BA,Bay Area Rapid Transit,10/24/2025 10:27:08 AM
CC,County Connection,11/5/2025 3:39:11 PM
CE,Altamont Corridor Express,10/10/2025 9:58:40 AM
CM,Commute.org Shuttles,6/23/2025 3:25:35 AM
CT,Caltrain,11/7/2025 9:45:53 AM
DE,Dumbarton Express Consortium,10/5/2025 9:02:57 PM
EE,Emery Express,1/30/2025 11:16:12 AM
EM,Emery Go-Round,11/11/2025 9:27:27 PM
FS,FAST,11/14/2025 8:51:54 AM
GF,Golden Gate Ferry,10/2/2025 3:03:14 PM
GG,Golden Gate Transit,10/7/2025 10:50:57 AM
GP,San Francisco Recreation and Parks,1/30/2025 11:18:09 AM
MA,Marin Transit,11/3/2025 8:21:51 PM
MB,Mission Bay TMA,7/10/2025 10:40:08 AM
MC,Mountain View Community Shuttle,8/26/2025 3:18:40 PM
MV,MVgo,10/14/2025 12:51:51 PM
PE,PETALUMA,12/30/2024 8:47:00 AM
PG,Presidio Go,1/8/2025 10:19:36 AM
RG,Regional GTFS,11/15/2025 4:41:11 AM
RV,Rio Vista Delta Breeze,11/4/2025 3:42:39 PM
SA,Sonoma Marin Area Rail Transit,10/23/2025 4:26:50 AM
SB,San Francisco Bay Ferry,10/17/2025 8:07:40 PM
SC,VTA,10/29/2025 7:47:58 PM
SF,San Francisco Municipal Transportation Agency,10/17/2025 7:48:32 PM
SI,San Francisco International Airport,11/7/2025 1:46:55 PM
SM,SamTrans,11/4/2025 3:37:29 PM
SO,Sonoma County Transit,11/14/2025 9:09:10 AM
SR,SANTAROSA,9/25/2025 7:48:54 AM
SS,City of South San Francisco,2/1/2025 6:16:24 PM
ST,SolTrans,11/11/2025 10:34:46 AM
TF,Treasure Island Ferry,1/7/2025 2:24:43 PM
UC,Union City Transit,11/26/2024 4:10:55 PM
VC,Vacaville,10/8/2025 10:28:20 AM
VN,VINE Transit,9/2/2025 2:03:27 PM
WC,WestCat (Western Contra Costa),8/28/2025 3:28:59 AM
WH,Livermore Amador Valley Transit Authority,11/14/2025 5:34:30 PM
